"CREATEDBYID","CREATEDDATE","ETICHETTA_RISULTATI_EN__C","ETICHETTA_RISULTATI_IT__C","ID","INSIEME_OPZIONI_DOMANDA__C","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OPZIONE_DOMANDA_EN__C","OPZIONE_DOMANDA_IT__C","ORDINE__C","OWNERID","SYSTEMMODSTAMP","VALORE_NUMERICO__C","VALORE_TESTUALE__C"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Sufficiente","a4v0E000000DeB4QAK","a4m0E000000DbSUQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000093","","Sufficiente, c'è un rapporto adeguato","3.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","3.0","Sufficiente"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Migliorabile","a4v0E000000DeB5QAK","a4m0E000000DbSUQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000094","","Migliorabile, ci sono alcune tensioni","4.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","2.0","Migliorabile"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Insoddisfacente","a4v0E000000DeB6QAK","a4m0E000000DbSUQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000095","","Insoddisfacente, ci sono molte tensioni","5.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","1.0","Insoddisfacente"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Molto","a4v0E000000DeB7QAK","a4m0E000000DbSVQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000096","","Molto, ruoli e processi sono ben definiti e consolidati","1.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","5.0","Molto"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Abbastanza","a4v0E000000DeB8QAK","a4m0E000000DbSVQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000097","","Abbastanza, stiamo lavorando per migliorare l'organizzazione","2.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","4.0","Abbastanza"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Sufficientemente","a4v0E000000DeB9QAK","a4m0E000000DbSVQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000098","","Sufficientemente, è necessario rivedere alcuni ruoli e processi","3.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","3.0","Sufficientemente"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Poco","a4v0E000000DeBAQA0","a4m0E000000DbSVQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000099","","Poco, ci sono molti aspetti su cui intervenire","4.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","2.0","Poco"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Per nulla","a4v0E000000DeBBQA0","a4m0E000000DbSVQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000100","","Per nulla, è ncecessario rivedere l'organizzazione","5.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","1.0","Per nulla"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Molto","a4v0E000000DeBCQA0","a4m0E000000DbSWQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000101","","Molto, su alcuni aspetti siamo davvero evoluti","1.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","5.0","Molto"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Abbastanza","a4v0E000000DeBDQA0","a4m0E000000DbSWQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000102","","Abbastanza, ma la linea di sviluppo innovativo è tracciata","2.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","4.0","Abbastanza"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Nella media","a4v0E000000DeBEQA0","a4m0E000000DbSWQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000103","","Nella media, dovremmo affrontare alcuni step di innovazione","3.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","3.0","Nella media"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Poco","a4v0E000000DeBFQA0","a4m0E000000DbSWQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000104","","Poco, riconosco che sarebbe importante innovare qualcosa","4.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","2.0","Poco"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Per nulla","a4v0E000000DeBGQA0","a4m0E000000DbSWQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000105","","Per nulla, fatichiamo ad innovare","5.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","1.0","Per nulla"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Ottimo","a4v0E000000DeBHQA0","a4m0E000000DbSXQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000106","","Ottimo, sono molto efficaci ed efficienti","1.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","5.0","Ottimo"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Buono","a4v0E000000DeBIQA0","a4m0E000000DbSXQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000107","","Buono, sono abbastanza efficaci ed efficienti","2.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","4.0","Buono"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Sufficiente","a4v0E000000DeBJQA0","a4m0E000000DbSXQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000108","","Sufficiente, alcuni aspetti devono essere affinati","3.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","3.0","Sufficiente"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Non del tutto sufficiente","a4v0E000000DeBKQA0","a4m0E000000DbSXQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000109","","Non del tutto sufficiente, molti aspetti sono migliorabili","4.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","2.0","Non del tutto sufficiente"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Insoddisfacente","a4v0E000000DeBLQA0","a4m0E000000DbSXQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000110","","Insoddisfacente, non sono abbastanza funzionali","5.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","1.0","Insoddisfacente"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Molto","a4v0E000000DeAOQA0","a4m0E000000DbSMQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000051","","Molto soddisfatto","1.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","5.0","Molto"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Abbastanza","a4v0E000000DeAPQA0","a4m0E000000DbSMQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000052","","Abbastanza soddisfatto","2.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","4.0","Abbastanza"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Sufficientemente","a4v0E000000DeAQQA0","a4m0E000000DbSMQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000053","","Sufficientemente soddisfatto","3.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","3.0","Sufficientemente"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Poco","a4v0E000000DeARQA0","a4m0E000000DbSMQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000054","","Poco soddisfatto","4.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","2.0","Poco"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Per nulla","a4v0E000000DeASQA0","a4m0E000000DbSMQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000055","","Per nulla soddisfatto","5.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","1.0","Per nulla"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Molto","a4v0E000000DeATQA0","a4m0E000000DbSNQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000056","","Molto, tutti hanno chiari gli obiettivi e sono davvero motivati","1.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","5.0","Molto"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Abbastanza","a4v0E000000DeAUQA0","a4m0E000000DbSNQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000057","","Abbastanza, sono allineati agli obiettivi e sembrano motivati","2.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","4.0","Abbastanza"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Non del tutto","a4v0E000000DeAVQA0","a4m0E000000DbSNQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000058","","Non del tutto, alcuni non sono così ingaggiati","3.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","3.0","Non del tutto"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Sufficientemente","a4v0E000000DeAWQA0","a4m0E000000DbSNQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000059","","Sufficientemente, anche se parte della squadra non è allineata","4.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","2.0","Sufficientemente"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Poco","a4v0E000000DeAXQA0","a4m0E000000DbSNQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000060","","Poco, occorrerebbe maggiore allineamento e ingaggio del team","5.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","1.0","Poco"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Molto","a4v0E000000DeAYQA0","a4m0E000000DbSOQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000061","","Molto, credo che la strategia sia vincente","1.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","5.0","Molto"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Abbastanza","a4v0E000000DeAZQA0","a4m0E000000DbSOQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000062","","Abbastanza, credo si possano raggiungere buoni risultati","2.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","4.0","Abbastanza"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Sufficientemente","a4v0E000000DeAaQAK","a4m0E000000DbSOQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000063","","Sufficientemente, alcuni aspetti strategici andrebbero migliorati","3.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","3.0","Sufficientemente"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Poco","a4v0E000000DeAbQAK","a4m0E000000DbSOQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000064","","Poco, diversi aspetti strategici non mi convincono","4.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","2.0","Poco"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Per nulla","a4v0E000000DeAcQAK","a4m0E000000DbSOQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000065","","Per nulla, la strategia andrebbe rivista","5.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","1.0","Per nulla"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Ottima","a4v0E000000DeAdQAK","a4m0E000000DbSPQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000066","","Ottima, siamo in sintonia","1.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","5.0","Ottima"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Buona","a4v0E000000DeAeQAK","a4m0E000000DbSPQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000067","","Buona, siamo allineati","2.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","4.0","Buona"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Migliorabile","a4v0E000000DeAfQAK","a4m0E000000DbSPQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000068","","Sufficiente, c'è un rapporto adeguato","3.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","3.0","Migliorabile"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Poco soddisfacente","a4v0E000000DeAgQAK","a4m0E000000DbSPQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000069","","Migliorabile, ci sono alcune tensioni","4.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","2.0","Poco soddisfacente"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Insoddisfacente","a4v0E000000DeAhQAK","a4m0E000000DbSPQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000070","","Insoddisfacente, ci sono molte tensioni","5.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","1.0","Insoddisfacente"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Molto competitive","a4v0E000000DeAiQAK","a4m0E000000DbSQQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000071","","Molto competitive","1.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","5.0","Molto"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Abbastanza competitive","a4v0E000000DeAjQAK","a4m0E000000DbSQQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000072","","Abbastanza competitive","2.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","4.0","Abbastanza"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Mediamente competitive","a4v0E000000DeAkQAK","a4m0E000000DbSQQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000073","","Mediamente competitive","3.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","3.0","Mediamente"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Poco competitive","a4v0E000000DeAlQAK","a4m0E000000DbSQQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000074","","Poco competitive","4.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","2.0","Poco"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Per nulla competitive","a4v0E000000DeAmQAK","a4m0E000000DbSQQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000075","","Non competitive","5.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","1.0","Per nulla"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Molto","a4v0E000000DeAnQAK","a4m0E000000DbSRQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000076","","Sì, molto","1.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","5.0","Molto"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Abbastanza","a4v0E000000DeAoQAK","a4m0E000000DbSRQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000077","","Sì, abbastanza","2.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","4.0","Abbastanza"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Sufficientemente","a4v0E000000DeApQAK","a4m0E000000DbSRQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000078","","Sufficientemente","3.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","3.0","Sufficientemente"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Non Abbastanza","a4v0E000000DeAqQAK","a4m0E000000DbSRQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000079","","No, non abbastanza","4.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","2.0","Non Abbastanza"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Per Nulla","a4v0E000000DeArQAK","a4m0E000000DbSRQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000080","","No, per nulla","5.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","1.0","Per Nulla"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Molto","a4v0E000000DeAsQAK","a4m0E000000DbSSQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000081","","Siamo molto solidi e confidenti nel futuro","1.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","5.0","Molto"
"0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","Abbastanza","a4v0E000000DeAtQAK","a4m0E000000DbSSQA0","false","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","","","OD-00000082","","Abbastanza, stiamo consolidando","2.0","0050E000005VHptQAG","2019-09-09T07:27:45.000Z","4.0","Abbastanza"
"0050Y000000NtQOQA0","2019-07-25T10:12:01.000Z","","Ottimo, siamo in sintonia","a4v0E000000DbfDQAS","a4m0E000000DaLuQAK","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000041","","Ottimo, siamo in sintonia","1.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","5.0","Ottimo, siamo in sintonia"
"0050Y000000NtQOQA0","2019-07-25T10:12:01.000Z","","Buono, siamo abbastanza allineati","a4v0E000000DbfEQAS","a4m0E000000DaLuQAK","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000042","","Buono, siamo abbastanza allineati","2.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","4.0","Buono, siamo abbastanza allineati"
"0050Y000000NtQOQA0","2019-07-25T10:12:01.000Z","","Sufficiente","a4v0E000000DbfFQAS","a4m0E000000DaLuQAK","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000043","","Sufficiente","3.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","3.0","Sufficiente"
"0050Y000000NtQOQA0","2019-07-25T10:12:01.000Z","","Migliorabile, a volte ci sono tensioni","a4v0E000000DbfGQAS","a4m0E000000DaLuQAK","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000044","","Migliorabile, a volte ci sono tensioni","4.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","2.0","Migliorabile, a volte ci sono tensioni"
"0050Y000000NtQOQA0","2019-07-25T10:12:01.000Z","","Insoddisfacente, ci sono molte tensioni","a4v0E000000DbfHQAS","a4m0E000000DaLuQAK","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000045","","Insoddisfacente, ci sono molte tensioni","5.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","1.0","Insoddisfacente, ci sono molte tensioni"
"0050Y000000NtQOQA0","2019-07-25T10:12:00.000Z","","Moltissima","a4v0E000000Dbf8QAC","a4m0E000000DaLoQAK","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000036","","Moltissima","1.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","5.0","Moltissima"
"0050Y000000NtQOQA0","2019-07-25T10:12:00.000Z","","Abbastanza","a4v0E000000Dbf9QAC","a4m0E000000DaLoQAK","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000037","","Abbastanza","2.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","4.0","Abbastanza"
"0050Y000000NtQOQA0","2019-07-25T10:12:00.000Z","","Sufficiente","a4v0E000000DbfAQAS","a4m0E000000DaLoQAK","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000038","","Sufficiente","3.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","3.0","Sufficiente"
"0050Y000000NtQOQA0","2019-07-25T10:12:00.000Z","","Poca","a4v0E000000DbfBQAS","a4m0E000000DaLoQAK","false","0050E000005VHptQAG","2019-09-09T07:27:46.000Z","","","OD-00000039","","Poca","4.0","0050Y000000NtQOQA0","2019-09-09T07:27:46.000Z","2.0","Poca"
